1/8/2015 12:03:30 AM 42012.00244 8111.00 3.80 1167.00 44.58 39.55 101.34 28.74 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:31 AM 42012.00245 8111.00 3.80 1164.00 44.32 39.64 101.34 28.74 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:32 AM 42012.00247 8111.00 3.04 1167.00 44.50 39.64 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:34 AM 42012.00248 8111.00 2.28 1163.00 44.67 39.81 101.34 28.71 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:35 AM 42012.00249 8111.00 3.80 1163.00 44.45 39.68 101.34 28.64 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:36 AM 42012.00251 8111.00 1.52 1167.00 44.58 39.55 101.34 28.64 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:37 AM 42012.00252 8111.00 3.42 1167.00 44.32 39.64 101.34 28.61 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:39 AM 42012.00254 8111.00 3.80 1168.00 44.41 39.64 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:40 AM 42012.00255 8111.00 3.04 1167.00 44.45 39.60 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:41 AM 42012.00256 8111.00 3.04 1163.00 44.41 39.64 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:42 AM 42012.00258 8111.00 3.04 1167.00 44.36 39.73 101.34 28.69 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:43 AM 42012.00259 8111.00 3.04 1164.00 44.58 39.81 101.34 28.61 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:45 AM 42012.00260 8111.00 3.80 1164.00 44.50 39.73 101.34 28.68 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:46 AM 42012.00262 8111.00 2.28 1164.00 44.41 39.81 101.34 28.74 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:47 AM 42012.00263 8111.00 3.04 1162.00 44.41 39.64 101.34 28.61 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:48 AM 42012.00265 8111.00 3.80 1165.00 44.32 39.73 101.34 28.68 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:49 AM 42012.00266 8111.00 3.04 1162.00 44.45 39.77 101.34 28.66 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:51 AM 42012.00267 8111.00 2.28 1165.00 44.41 39.64 101.34 28.64 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:52 AM 42012.00269 8111.00 3.80 1163.00 44.45 39.64 101.34 28.72 0.01 -1  1 1 1 1 1 
1/8/2015 12:03:53 AM 42012.00270 8111.00 3.04 1165.00 44.50 39.64 101.34 28.77 0.01 -1  1 1 1 1 1 
1/8/2015 12:03:54 AM 42012.00272 8111.00 3.04 1164.00 44.32 39.77 101.34 28.77 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:55 AM 42012.00273 8111.00 3.80 1167.00 44.41 39.64 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:57 AM 42012.00274 8111.00 3.80 1165.00 44.45 39.68 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:58 AM 42012.00276 8111.00 3.04 1167.00 44.50 39.64 101.34 28.71 -0.01 22 TotalConcMeas 1 1 1 1 1 
