03.10.2014 18:46:43           
03.10.2014 19:03:52  41915,79436 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 -1  1 0,00
03.10.2014 19:03:56  41915,79441 16028 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -1,21 -1  1 0,00
03.10.2014 19:03:58  41915,79442 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,10 -1  1 0,00
03.10.2014 19:03:59  41915,79444 16034 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,52 33 CellOff 1 0,00
03.10.2014 19:04:00  41915,79445 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 33 CellOff 1 0,00
03.10.2014 19:04:01  41915,79446 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,32 33 CellOff 1 0,00
03.10.2014 19:04:02  41915,79447 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 33 CellOff 1 0,00
03.10.2014 19:04:03  41915,79448 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 33 CellOff 1 0,00
03.10.2014 19:04:04  41915,79449 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 33 CellOff 1 0,00
03.10.2014 19:04:05  41915,79451 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 33 CellOff 1 0,00
03.10.2014 19:04:06  41915,79452 16042 2,6 4095 -273,15 -273,06 -660,07 0,000 1 1 1,21 -1  1 0,00
03.10.2014 19:04:09  41915,79455 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,77 -1  1 0,00
03.10.2014 19:04:10  41915,79456 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 0 StartBlockReset 1 0,00
03.10.2014 19:04:11  41915,79457 16042 2,6 4095 -273,15 -273,06 -660,07 0,000 1 1 1,10 0 StartBlockReset 1 0,00
03.10.2014 19:04:12  41915,79459 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 0 StartBlockReset 1 0,00
03.10.2014 19:04:13  41915,79460 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,10 0 StartBlockReset 1 0,00
03.10.2014 19:04:14  41915,79461 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 0 StartBlockReset 1 0,00
03.10.2014 19:04:15  41915,79462 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,88 0 StartBlockReset 1 0,00
03.10.2014 19:04:16  41915,79463 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,04 0 StartBlockReset 1 0,00
03.10.2014 19:04:17  41915,79464 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,10 0 StartBlockReset 1 0,00
03.10.2014 19:04:18  41915,79466 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,82 0 StartBlockReset 1 0,00
03.10.2014 19:04:19  41915,79467 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 0 StartBlockReset 1 0,00
03.10.2014 19:04:20  41915,79468 16037 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,21 -1  1 0,00
03.10.2014 19:04:21  41915,79469 16017 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,98 33 CellOff 1 0,00
03.10.2014 19:04:22  41915,79471 16041 2,6 4095 -273,11 -273,15 -660,07 0,000 1 1 0,82 33 CellOff 1 0,00
03.10.2014 19:04:23  41915,79472 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 33 CellOff 1 0,00
03.10.2014 19:04:24  41915,79473 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,99 33 CellOff 1 0,00
03.10.2014 19:04:25  41915,79474 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,32 33 CellOff 1 0,00
03.10.2014 19:04:26  41915,79475 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,15 33 CellOff 1 0,00
03.10.2014 19:04:27  41915,79477 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 33 CellOff 1 0,00
03.10.2014 19:04:28  41915,79478 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 -1  1 0,00
03.10.2014 19:04:31  41915,79481 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 -1  1 0,00
03.10.2014 19:04:33  41915,79483 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,37 0 StartBlockReset 1 0,00
03.10.2014 19:04:34  41915,79484 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,32 0 StartBlockReset 1 0,00
03.10.2014 19:04:35  41915,79485 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,15 0 StartBlockReset 1 0,00
03.10.2014 19:04:36  41915,79486 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 0 StartBlockReset 1 0,00
03.10.2014 19:04:37  41915,79487 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 0 StartBlockReset 1 0,00
03.10.2014 19:04:38  41915,79489 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,15 0 StartBlockReset 1 0,00
03.10.2014 19:04:39  41915,79490 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,32 0 StartBlockReset 1 0,00
03.10.2014 19:04:40  41915,79491 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 0 StartBlockReset 1 0,00
03.10.2014 19:04:41  41915,79492 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,21 0 StartBlockReset 1 0,00
03.10.2014 19:04:42  41915,79493 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,32 0 StartBlockReset 1 0,00
03.10.2014 19:04:44  41915,79496 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 -1  1 0,00
03.10.2014 19:04:45  41915,79497 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 33 CellOff 1 0,00
03.10.2014 19:04:46  41915,79498 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 33 CellOff 1 0,00
03.10.2014 19:04:47  41915,79499 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 33 CellOff 1 0,00
03.10.2014 19:04:48  41915,79501 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,32 33 CellOff 1 0,00
03.10.2014 19:04:49  41915,79502 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 33 CellOff 1 0,00
03.10.2014 19:04:50  41915,79503 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,43 33 CellOff 1 0,00
03.10.2014 19:04:51  41915,79504 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 1,54 33 CellOff 1 0,00
